Ours,10,2032977.994227
Ours,10,4035252.849898
Ours,10,37282322691.723679
Ours,10,4553431.131218
Ours,10,3757108.689520
Ours,10,3922547.356692
Ours,10,23612760566.894840
Ours,10,3923460.669802
Ours,10,92271925.355050
Ours,10,3974643.649802
Ours,10,1872160.145320
Ours,10,3954943.449433
Ours,10,4044196.167130
Ours,10,101299297.790529
Ours,10,12547939700.475605
Ours,10,4040316.889788
Ours,10,3782314.993518
Ours,10,3989084.878287
Ours,10,3830682.258609
Ours,10,3959545.364554
Ours,10,3940783.724419
Ours,10,4187297.733223
Ours,10,3901078.423428
Ours,10,3819369.511866
Ours,10,27319832895.863831
Ours,10,1595067.324535
Ours,10,3843195.986965
Ours,10,34994075.848887
Ours,10,4311922.449871
Ours,10,3895144.476441
Ours,10,33700771671.706455
Ours,10,3881249.242008
Ours,10,223493436.474713
Ours,10,4178856.497069
Ours,10,7088909.510234
Ours,10,4327906.650055
Ours,10,4217198.862169
Ours,10,4232338.420943
Ours,10,4263024.256221
Ours,10,2292690.049899
Ours,10,4050492.152524
Ours,10,3815350.291541
Ours,10,5739652708.888169
Ours,10,3687565.826114
Ours,10,19803991.890657
Ours,10,3931456.949608
Ours,10,4058199.827492
Ours,10,3958312.082112
Ours,10,4139971.108860
Ours,10,3939700.613802
Ours,10,3712257.403304
Ours,10,4283831.924486
Ours,10,3802749.101347
Ours,10,3770020.319741
Ours,10,3889698.041217
Ours,10,43739749815.673843
Ours,10,4001450.240389
Ours,10,4047131.321546
Ours,10,53317993148.052391
Ours,10,4162453.100050
Ours,10,53192686295.095390
Ours,10,3913084.334763
Ours,10,4125800.785852
Ours,10,59675762.799822
Ours,10,4249377.715576
Ours,10,4267017.592110
Ours,10,2148079.875099
Ours,10,4223606.220471
Ours,10,1816869.852984
Ours,10,1817379.330640
Ours,10,53212893467.938103
Ours,10,3537484176.012556
Ours,10,1750286.802007
Ours,10,4032736.525810
Ours,10,4355099.495887
Ours,10,4942531.701089
Ours,10,3992264.546398
Ours,10,3716770.233251
Ours,10,1835561.729218
Ours,10,3923057.538005
Ours,10,3986894.531934
Ours,10,3774026.742360
Ours,10,314006558.335822
Ours,10,4000569.104290
Ours,10,3715667.767801
Ours,10,4447257.248332
Ours,10,3973702.296989
Ours,10,46448508295.104576
Ours,10,4282568.278624
Ours,10,2301387.683144
Ours,10,331167790.190649
Ours,10,211292624.260841
Ours,10,4182890.417464
Ours,10,4013121.271175
Ours,10,4069041.703735
Ours,10,3804174.187948
Ours,10,1938500315.327053
Ours,10,3842720.741495
Ours,10,4087350.235313
Ours,10,3809786.902169
Ours,25,3528504466.457735
Ours,25,1597217.938105
Ours,25,1496924.271134
Ours,25,3568857.546386
Ours,25,1587296.547651
Ours,25,1515152.376404
Ours,25,1655799.526436
Ours,25,1377699.010068
Ours,25,1320174.175697
Ours,25,3885744.186138
Ours,25,3876807.847807
Ours,25,1587021.927223
Ours,25,829281053.023802
Ours,25,1571161.917585
Ours,25,1515684.120267
Ours,25,3585892.509528
Ours,25,10063513040.916065
Ours,25,1482882.783036
Ours,25,1787897.780315
Ours,25,3933762.892380
Ours,25,3611635.525069
Ours,25,1604576.182760
Ours,25,1728134.962557
Ours,25,1553353.518738
Ours,25,3585551.766348
Ours,25,3639324.340000
Ours,25,2502590.563128
Ours,25,40218530139.835922
