Ours,10,5645678675218.265625
Ours,10,6143829600428.414062
Ours,10,11465038590902.216797
Ours,10,5108705262333.144531
Ours,10,7953460946099.009766
Ours,10,5661785608898.076172
Ours,10,6302333347804.473633
Ours,10,8500094493554.192383
Ours,10,7553622018834.074219
Ours,10,5874623101012.449219
Ours,10,8400020909012.674805
Ours,10,5298403622266.168945
Ours,10,6295709595974.481445
Ours,10,10555360026796.095703
Ours,10,6026124483231.114258
Ours,10,6155776860337.812500
Ours,10,6740614207907.563477
Ours,10,6405875028363.330078
Ours,10,5484769793940.913086
Ours,10,7785545180044.038086
Ours,10,8399354961872.843750
Ours,10,7814162238300.550781
Ours,10,5822253020975.054688
Ours,10,8937860649316.658203
Ours,10,6986949949798.663086
Ours,10,5032122536388.698242
Ours,10,8000185430072.750000
Ours,10,6737824231287.008789
Ours,10,5801870695903.988281
Ours,10,4940582598885.787109
Ours,10,10271340845008.507812
Ours,10,5824878149106.406250
Ours,10,9680328674208.353516
Ours,10,5985142812856.722656
Ours,10,7451306076885.036133
Ours,10,7826652996852.169922
Ours,10,8530769918907.536133
Ours,10,5718984169205.995117
Ours,10,11474837253656.322266
Ours,10,6209936750338.645508
Ours,10,6014411766833.298828
Ours,10,8415279355039.065430
Ours,10,6422493159673.176758
Ours,10,7329131060461.279297
Ours,10,6036663913563.571289
Ours,10,7240738458071.286133
Ours,10,5882656075291.794922
Ours,10,5939166529790.569336
Ours,10,8693036916389.795898
Ours,10,7100494641726.602539
Ours,10,5779156544547.434570
Ours,10,5994757983893.148438
Ours,10,6480221963516.740234
Ours,10,6060258411602.705078
Ours,10,6388793261609.916016
Ours,10,6636693202890.958008
Ours,10,5988716205137.657227
Ours,10,5838925623850.077148
Ours,10,6539197653826.331055
Ours,10,6067586853765.049805
Ours,10,5198976064747.211914
Ours,10,4352109366440.460449
Ours,10,5861215868854.138672
Ours,10,7314836889420.553711
Ours,10,6520229226190.192383
Ours,10,5848022516999.831055
Ours,10,6604876105504.002930
Ours,10,7794027542747.676758
Ours,10,15087219785552.271484
Ours,10,6095342401232.562500
Ours,10,5615405595032.375000
Ours,10,6949486514489.987305
Ours,10,8028522540838.716797
Ours,10,6007482891545.642578
Ours,10,9750543815304.037109
Ours,10,5189192108311.235352
Ours,10,6657372685007.237305
Ours,10,5815300206583.763672
Ours,10,6315589730213.943359
Ours,10,7608133793141.623047
Ours,10,5957537293447.691406
Ours,10,6224681543506.587891
Ours,10,6676325744368.345703
Ours,10,9419991328374.148438
Ours,10,6265955078831.426758
Ours,10,10271268569699.507812
Ours,10,8208870544638.038086
Ours,10,14035981670812.070312
Ours,10,6864993731863.355469
Ours,10,7734603996433.965820
Ours,10,6117026100645.289062
Ours,10,6651269889198.255859
Ours,10,7352006872052.504883
Ours,10,7322599182802.856445
Ours,10,9840733955636.966797
Ours,10,5809320256915.766602
Ours,10,5215584217499.657227
Ours,10,8328225063167.010742
Ours,10,4652971900745.159180
Ours,10,8423607834684.466797
Ours,25,4832658486827.680664
Ours,25,5343648808593.975586
Ours,25,6559002339938.001953
Ours,25,7174826208236.593750
Ours,25,7715717827507.544922
Ours,25,5673378891335.766602
Ours,25,7084993756587.836914
Ours,25,5652118933779.544922
Ours,25,5697170345987.475586
Ours,25,6001543422293.580078
Ours,25,7989634879855.935547
Ours,25,6365825462020.197266
Ours,25,6774637879526.833008
Ours,25,7368235180063.445312
Ours,25,8759923967987.258789
Ours,25,6475533678383.037109
Ours,25,7913418239054.791992
Ours,25,8156264701806.503906
Ours,25,5261110414767.131836
Ours,25,6451205330107.159180
Ours,25,5850637020792.149414
Ours,25,5834456219959.006836
Ours,25,16175314817817.623047
Ours,25,6858439174433.187500
Ours,25,5846642999986.646484
Ours,25,6577651383186.302734
Ours,25,5205507855437.166992
Ours,25,6058948936090.513672
Ours,25,5910970453182.722656
Ours,25,7266503078007.272461
Ours,25,8443926979135.304688
Ours,25,6175669288908.421875
Ours,25,6758486355918.059570
Ours,25,6502315272377.298828
Ours,25,7073171249900.767578
Ours,25,8204863282332.613281
Ours,25,6703165799873.005859
Ours,25,8260715412746.303711
Ours,25,7479968559702.087891
Ours,25,7521766622582.312500
Ours,25,6252087657301.141602
Ours,25,4665893218923.319336
Ours,25,5630912816414.021484
Ours,25,5950016278155.326172
Ours,25,7245388951366.397461
Ours,25,11798037487625.187500
Ours,25,6241720219579.340820
Ours,25,6839463033102.223633
Ours,25,5314421318228.358398
Ours,25,5500384054187.537109
Ours,25,5318928105303.116211
Ours,25,12491659587352.121094
Ours,25,5939034477402.476562
Ours,25,7829887381407.492188
Ours,25,8835396436907.863281
Ours,25,6203765898169.550781
Ours,25,5807926221992.619141
Ours,25,6947299993383.469727
Ours,25,7980089282237.360352
Ours,25,5176270944208.957031
Ours,25,7980539898495.045898
Ours,25,13973805201136.767578
Ours,25,8382591874696.509766
Ours,25,8742234858982.792969
Ours,25,6751805694816.048828
Ours,25,9188712275197.843750
Ours,25,7694883453421.437500
Ours,25,5184041344392.462891
Ours,25,8581269468928.797852
Ours,25,6607371190550.961914
Ours,25,8799532505509.216797
Ours,25,8518584653859.987305
Ours,25,7932192871693.400391
Ours,25,6425439561666.051758
Ours,25,10254474588199.306641
Ours,25,7376861136546.692383
Ours,25,10548948040299.093750
Ours,25,7438345115474.546875
Ours,25,6567008856313.502930
Ours,25,7500919278064.196289
Ours,25,5956988897660.237305
Ours,25,5716749943760.603516
Ours,25,8051753254229.198242
Ours,25,7546928173581.290039
Ours,25,7635200350760.674805
Ours,25,14079636262552.484375
Ours,25,6193876852677.921875
Ours,25,7115222771891.010742
Ours,25,6700552246587.078125
Ours,25,6055027500739.188477
Ours,25,7390191593097.420898
Ours,25,6914194292884.440430
Ours,25,8032102213863.606445
Ours,25,6609264182818.274414
Ours,25,5970658943450.611328
Ours,25,6260020850781.420898
Ours,25,7453904251823.647461
Ours,25,7324206841396.818359
Ours,25,6387112852801.188477
Ours,25,11159748548256.572266
Ours,50,6511752497924.577148
Ours,50,10175045541866.429688
Ours,50,9059901745992.933594
Ours,50,6934554172696.442383
Ours,50,7630685517459.875977
Ours,50,7042803113235.361328
Ours,50,9566228222840.603516
Ours,50,7233000558170.390625
Ours,50,6700084631288.758789
Ours,50,6421510793250.686523
Ours,50,6012797900024.372070
Ours,50,5991105930770.971680
Ours,50,6511392036342.983398
Ours,50,8734774312635.303711
Ours,50,8828227610781.250000
Ours,50,7733930542400.453125
Ours,50,7254809920527.493164
Ours,50,6192858057670.729492
Ours,50,6611403912513.952148
Ours,50,7397570014227.320312
Ours,50,6990102922339.497070
Ours,50,8316774163765.010742
