Ours,10,13617683123782.576172
Ours,10,30937959257558.863281
Ours,10,27716367058622.015625
Ours,10,53827692977020.945312
Ours,10,28188916801356.128906
Ours,10,21813250583196.035156
Ours,10,29401130700708.957031
Ours,10,23706271758974.035156
Ours,10,15127183697464.056641
Ours,10,20543367195965.882812
Ours,25,5118966800214.717773
Ours,25,5155606782347.320312
Ours,25,5909234299823.338867
Ours,25,6732740232992.606445
Ours,25,5356317743245.020508
Ours,25,8233796799138.030273
Ours,25,5141052733973.024414
Ours,25,6941725602310.763672
Ours,25,5681589385960.780273
Ours,25,5302542152222.751953
Ours,50,7752882656270.761719
Ours,50,3522838646432.980469
Ours,50,3206499539945.138672
Ours,50,3255434298558.124023
Ours,50,2933432349453.227539
Ours,50,3511739793257.995605
Ours,50,5321190718849.933594
Ours,50,3459686614717.316406
Ours,50,2975231860069.528320
Ours,50,3114265264259.280762
Ours,100,2150065599682.593262
Ours,100,2147400909716.903809
Ours,100,2032043155846.961670
Ours,100,2046394557779.133545
Ours,100,2128506796872.128662
Ours,100,2070025323751.426758
Ours,100,2086459146488.499023
Ours,100,2288411824011.939941
Ours,100,2624040160391.296387
Ours,100,2481015340901.716309
Ours,250,1073645255420.583008
Ours,250,1413896724183.254395
Ours,250,1416421985573.020996
Ours,250,1093990259591.965454
Ours,250,1337828884940.212158
Ours,250,1301899392394.840820
Ours,250,1480926724408.130371
Ours,250,1437119689953.342041
Ours,250,1384747961758.429688
Ours,250,1656635530256.494141
Ours,500,1057038564390.884399
Ours,500,684603034216.708496
Ours,500,702044789950.990479
Ours,500,1109258294235.138672
Ours,500,992758933996.064819
Ours,500,774157213232.789062
Ours,500,750169523117.810425
Ours,500,1287558011232.062988
Ours,500,939981775624.612915
Ours,500,998837668237.797119
Ours,1000,859480374802.206909
Ours,1000,640240288202.203003
Ours,1000,537270172016.462097
Ours,1000,676680577726.108887
Ours,1000,771703243367.903564
Ours,1000,750382074606.957153
Ours,1000,815126369209.233032
Ours,1000,470091411038.425415
